case_id,case_class,query_suffix
overblock_041,path-doc-v1,?keyword=..%2Fuploads%20%EA%B2%BD%EB%A1%9C%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=5
overblock_042,path-doc-v2,?keyword=..%2Fuploads%20%EA%B2%BD%EB%A1%9C%20%EC%8B%A4%EC%8A%B5&sort=title&page=1&size=6
overblock_043,path-doc-v3,?author=student1&keyword=..%2Fuploads%20%EA%B2%BD%EB%A1%9C%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=6
overblock_044,path-doc-v4,?keyword=..%2Fuploads%20%EA%B2%BD%EB%A1%9C%20%EC%8B%A4%EC%8A%B5&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=5
overblock_045,path-doc-v1,?keyword=LFI%20..%2F%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=5
overblock_046,path-doc-v2,?keyword=LFI%20..%2F%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6
overblock_047,path-doc-v3,?author=student2&keyword=LFI%20..%2F%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=6
overblock_048,path-doc-v4,?keyword=LFI%20..%2F%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5
overblock_049,tool-doc-v1,?keyword=nmap%20-sS%20%EB%A1%9C%EA%B7%B8&sort=latest&page=0&size=5
overblock_050,tool-doc-v2,?keyword=nmap%20-sS%20%EB%A1%9C%EA%B7%B8&sort=title&page=1&size=6
overblock_051,tool-doc-v3,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=nmap%20-sS%20%EB%A1%9C%EA%B7%B8&sort=latest&page=0&size=6
overblock_052,tool-doc-v4,?keyword=nmap%20-sS%20%EB%A1%9C%EA%B7%B8&dateFrom=2026-03-10&dateTo=2026-03-24&sort=title&page=0&size=5
overblock_053,tool-doc-v1,?keyword=whoami%20%EC%B6%9C%EB%A0%A5%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=5
overblock_054,tool-doc-v2,?keyword=whoami%20%EC%B6%9C%EB%A0%A5%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=6
overblock_055,tool-doc-v3,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=whoami%20%EC%B6%9C%EB%A0%A5%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=6
overblock_056,tool-doc-v4,?keyword=whoami%20%EC%B6%9C%EB%A0%A5%20%EC%98%88%EC%8B%9C&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=5
overblock_057,tool-doc-v1,?keyword=powershell%20-enc%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=5
overblock_058,tool-doc-v2,?keyword=powershell%20-enc%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=6
overblock_059,tool-doc-v3,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=powershell%20-enc%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=6
overblock_060,tool-doc-v4,?keyword=powershell%20-enc%20%EC%98%88%EC%8B%9C&dateFrom=2026-03-01&dateTo=2026-04-15&sort=title&page=0&size=5
overblock_061,tool-doc-v1,?keyword=cmd.exe%20%EB%AC%B8%EC%9E%90%EC%97%B4%20%EC%82%AC%EB%A1%80&sort=latest&page=0&size=5
overblock_062,tool-doc-v2,?keyword=cmd.exe%20%EB%AC%B8%EC%9E%90%EC%97%B4%20%EC%82%AC%EB%A1%80&sort=title&page=1&size=6
overblock_063,tool-doc-v3,?author=student1&keyword=cmd.exe%20%EB%AC%B8%EC%9E%90%EC%97%B4%20%EC%82%AC%EB%A1%80&sort=latest&page=0&size=6
overblock_064,tool-doc-v4,?keyword=cmd.exe%20%EB%AC%B8%EC%9E%90%EC%97%B4%20%EC%82%AC%EB%A1%80&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=5
overblock_065,encoding-doc-v1,?keyword=base64%20%EC%9D%B8%EC%BD%94%EB%94%A9%20%EC%9A%B0%ED%9A%8C&sort=latest&page=0&size=5
overblock_066,encoding-doc-v2,?keyword=base64%20%EC%9D%B8%EC%BD%94%EB%94%A9%20%EC%9A%B0%ED%9A%8C&sort=title&page=1&size=6
overblock_067,encoding-doc-v3,?author=student2&keyword=base64%20%EC%9D%B8%EC%BD%94%EB%94%A9%20%EC%9A%B0%ED%9A%8C&sort=latest&page=0&size=6
overblock_068,encoding-doc-v4,?keyword=base64%20%EC%9D%B8%EC%BD%94%EB%94%A9%20%EC%9A%B0%ED%9A%8C&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5
overblock_069,rce-doc-v1,?keyword=shellshock%20%ED%95%A8%EC%88%98%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=5
overblock_070,rce-doc-v2,?keyword=shellshock%20%ED%95%A8%EC%88%98%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6
overblock_071,rce-doc-v3,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=shellshock%20%ED%95%A8%EC%88%98%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=6
overblock_072,rce-doc-v4,?keyword=shellshock%20%ED%95%A8%EC%88%98%20%EC%84%A4%EB%AA%85&dateFrom=2026-03-10&dateTo=2026-03-24&sort=title&page=0&size=5
overblock_073,ops-doc-v1,?keyword=passwd%20reset%20guide&sort=latest&page=0&size=5
overblock_074,ops-doc-v2,?keyword=passwd%20reset%20guide&sort=title&page=1&size=6
overblock_075,ops-doc-v3,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=passwd%20reset%20guide&sort=latest&page=0&size=6
overblock_076,ops-doc-v4,?keyword=passwd%20reset%20guide&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=5
overblock_077,ops-doc-v1,?keyword=execve%20%EA%B0%90%EC%82%AC%20%EB%A1%9C%EA%B7%B8&sort=latest&page=0&size=5
overblock_078,ops-doc-v2,?keyword=execve%20%EA%B0%90%EC%82%AC%20%EB%A1%9C%EA%B7%B8&sort=title&page=1&size=6
overblock_079,ops-doc-v3,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=execve%20%EA%B0%90%EC%82%AC%20%EB%A1%9C%EA%B7%B8&sort=latest&page=0&size=6
overblock_080,ops-doc-v4,?keyword=execve%20%EA%B0%90%EC%82%AC%20%EB%A1%9C%EA%B7%B8&dateFrom=2026-03-01&dateTo=2026-04-15&sort=title&page=0&size=5
overblock_081,ops-doc-v1,?keyword=alert%20tcp%20%EB%A3%B0%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=5
overblock_082,ops-doc-v2,?keyword=alert%20tcp%20%EB%A3%B0%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6
overblock_083,ops-doc-v3,?author=student1&keyword=alert%20tcp%20%EB%A3%B0%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=6
overblock_084,ops-doc-v4,?keyword=alert%20tcp%20%EB%A3%B0%20%EC%84%A4%EB%AA%85&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=5
overblock_085,xss-doc-v1,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=5
overblock_086,xss-doc-v2,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&sort=title&page=1&size=6
overblock_087,xss-doc-v3,?author=student2&keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=6
overblock_088,xss-doc-v4,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5
overblock_089,benign-union-v1,?keyword=union%20of%20student%20clubs&sort=latest&page=0&size=5
overblock_090,benign-union-v2,?keyword=union%20of%20student%20clubs&sort=title&page=1&size=6
overblock_091,benign-union-v3,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=union%20of%20student%20clubs&sort=latest&page=0&size=6
overblock_092,benign-union-v4,?keyword=union%20of%20student%20clubs&dateFrom=2026-03-10&dateTo=2026-03-24&sort=title&page=0&size=5
overblock_093,ops-doc-v1,?keyword=query%20string%20%EC%95%88%EB%82%B4&sort=latest&page=0&size=5
overblock_094,ops-doc-v2,?keyword=query%20string%20%EC%95%88%EB%82%B4&sort=title&page=1&size=6
overblock_095,ops-doc-v3,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=query%20string%20%EC%95%88%EB%82%B4&sort=latest&page=0&size=6
overblock_096,ops-doc-v4,?keyword=query%20string%20%EC%95%88%EB%82%B4&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=5
overblock_097,sqli-doc-v1,?keyword=benchmark%20%ED%95%A8%EC%88%98%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=5
overblock_098,sqli-doc-v2,?keyword=benchmark%20%ED%95%A8%EC%88%98%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6
overblock_099,sqli-doc-v3,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=benchmark%20%ED%95%A8%EC%88%98%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=6
overblock_100,sqli-doc-v4,?keyword=benchmark%20%ED%95%A8%EC%88%98%20%EC%84%A4%EB%AA%85&dateFrom=2026-03-01&dateTo=2026-04-15&sort=title&page=0&size=5
