Name,IPFamily,Type,IPAddress,Description
CTAS_IP_40,IPv4,IP,222.160.220.47,악성코드 유포지
CTAS_IP_41,IPv4,IP,124.235.252.71,악성코드 유포지
CTAS_IP_42,IPv4,IP,115.49.113.83,악성코드 유포지
CTAS_IP_43,IPv4,IP,222.140.158.46,악성코드 유포지
CTAS_IP_44,IPv4,IP,182.114.193.114,악성코드 유포지
CTAS_IP_45,IPv4,IP,115.50.134.153,악성코드 유포지
CTAS_IP_46,IPv4,IP,61.53.74.47,악성코드 유포지
CTAS_IP_47,IPv4,IP,61.52.158.171,악성코드 유포지
CTAS_IP_48,IPv4,IP,61.52.156.25,악성코드 유포지
CTAS_IP_49,IPv4,IP,42.232.225.243,악성코드 유포지
CTAS_IP_50,IPv4,IP,42.236.150.45,악성코드 유포지
CTAS_IP_51,IPv4,IP,222.142.248.205,악성코드 유포지
CTAS_IP_52,IPv4,IP,221.15.21.8,악성코드 유포지
CTAS_IP_53,IPv4,IP,182.113.35.193,악성코드 유포지
CTAS_IP_54,IPv4,IP,182.126.124.4,악성코드 유포지
CTAS_IP_55,IPv4,IP,182.114.34.240,악성코드 유포지
CTAS_IP_56,IPv4,IP,125.43.80.232,악성코드 유포지
CTAS_IP_57,IPv4,IP,125.41.102.187,악성코드 유포지
CTAS_IP_58,IPv4,IP,123.7.97.109,악성코드 유포지
CTAS_IP_59,IPv4,IP,123.12.224.255,악성코드 유포지
CTAS_IP_60,IPv4,IP,123.14.89.157,악성코드 유포지
CTAS_IP_61,IPv4,IP,119.187.137.161,악성코드 유포지
CTAS_IP_62,IPv4,IP,115.48.238.231,악성코드 유포지
CTAS_IP_63,IPv4,IP,115.61.240.51,악성코드 유포지
CTAS_IP_64,IPv4,IP,115.58.170.232,악성코드 유포지
CTAS_IP_65,IPv4,IP,115.54.112.78,악성코드 유포지
CTAS_IP_66,IPv4,IP,112.248.80.112,악성코드 유포지
CTAS_IP_67,IPv4,IP,110.37.52.81,악성코드 유포지
CTAS_IP_68,IPv4,IP,42.56.167.182,악성코드 유포지
CTAS_IP_69,IPv4,IP,42.5.5.56,악성코드 유포지
CTAS_IP_70,IPv4,IP,27.37.85.76,악성코드 유포지
CTAS_IP_71,IPv4,IP,223.105.50.190,악성코드 유포지
CTAS_IP_72,IPv4,IP,175.150.41.44,악성코드 유포지
CTAS_IP_73,IPv4,IP,175.146.87.106,악성코드 유포지
CTAS_IP_74,IPv4,IP,123.188.72.7,악성코드 유포지
CTAS_IP_75,IPv4,IP,119.116.157.9,악성코드 유포지
CTAS_IP_76,IPv4,IP,36.232.104.152,피싱
CTAS_IP_77,IPv4,IP,36.232.70.187,피싱
CTAS_IP_78,IPv4,IP,36.225.64.209,피싱
CTAS_IP_79,IPv4,IP,36.232.67.187,피싱
CTAS_IP_80,IPv4,IP,111.253.215.186,피싱
CTAS_IP_81,IPv4,IP,111.253.214.123,피싱
CTAS_IP_82,IPv4,IP,111.253.214.104,피싱
CTAS_IP_83,IPv4,IP,125.231.7.207,피싱
CTAS_IP_84,IPv4,IP,36.225.83.24,피싱
CTAS_IP_85,IPv4,IP,1.170.230.52,피싱
CTAS_IP_86,IPv4,IP,1.163.233.154,피싱
CTAS_IP_87,IPv4,IP,111.253.202.193,피싱
CTAS_IP_88,IPv4,IP,36.232.65.5,피싱
CTAS_IP_89,IPv4,IP,1.170.223.86,피싱
CTAS_IP_90,IPv4,IP,111.246.235.139,피싱
CTAS_IP_91,IPv4,IP,36.225.124.25,피싱
CTAS_IP_92,IPv4,IP,111.253.213.248,피싱
CTAS_IP_93,IPv4,IP,36.232.108.222,피싱
CTAS_IP_94,IPv4,IP,36.232.104.226,피싱
CTAS_IP_95,IPv4,IP,222.142.210.224,악성코드 유포지
CTAS_IP_96,IPv4,IP,123.9.83.27,악성코드 유포지
CTAS_IP_97,IPv4,IP,175.146.53.138,악성코드 유포지
CTAS_IP_98,IPv4,IP,27.37.89.137,악성코드 유포지
CTAS_IP_99,IPv4,IP,113.238.120.76,악성코드 유포지
CTAS_IP_100,IPv4,IP,175.165.82.231,악성코드 유포지
CTAS_IP_101,IPv4,IP,60.23.239.53,악성코드 유포지
CTAS_IP_102,IPv4,IP,202.107.97.192,악성코드 유포지
CTAS_IP_103,IPv4,IP,182.127.165.110,악성코드 유포지
CTAS_IP_104,IPv4,IP,125.40.123.244,악성코드 유포지
CTAS_IP_105,IPv4,IP,115.62.183.250,악성코드 유포지
CTAS_IP_106,IPv4,IP,115.50.39.17,악성코드 유포지
CTAS_IP_107,IPv4,IP,125.41.246.228,악성코드 유포지
CTAS_IP_108,IPv4,IP,112.237.248.185,악성코드 유포지
CTAS_IP_109,IPv4,IP,27.215.127.42,악성코드 유포지
CTAS_IP_110,IPv4,IP,119.179.254.248,악성코드 유포지
CTAS_IP_111,IPv4,IP,42.231.78.179,악성코드 유포지
CTAS_IP_112,IPv4,IP,42.227.224.82,악성코드 유포지
CTAS_IP_113,IPv4,IP,39.40.148.235,악성코드 유포지
CTAS_IP_114,IPv4,IP,185.205.226.250,악성코드 유포지
CTAS_IP_115,IPv4,IP,158.94.208.168,악성코드 유포지
CTAS_IP_116,IPv4,IP,27.197.137.199,악성코드 유포지
CTAS_IP_117,IPv4,IP,175.11.89.31,악성코드 유포지
CTAS_IP_118,IPv4,IP,123.183.196.100,악성코드 유포지
CTAS_IP_119,IPv4,IP,117.26.226.41,악성코드 유포지
CTAS_IP_120,IPv4,IP,117.26.226.221,악성코드 유포지
CTAS_IP_121,IPv4,IP,117.24.142.65,악성코드 유포지
CTAS_IP_122,IPv4,IP,116.133.72.10,악성코드 유포지
CTAS_IP_123,IPv4,IP,42.229.217.213,악성코드 유포지
CTAS_IP_124,IPv4,IP,42.233.144.126,악성코드 유포지
CTAS_IP_125,IPv4,IP,42.227.128.138,악성코드 유포지
CTAS_IP_126,IPv4,IP,27.202.39.59,악성코드 유포지
CTAS_IP_127,IPv4,IP,27.221.244.100,악성코드 유포지
CTAS_IP_128,IPv4,IP,27.215.126.100,악성코드 유포지
CTAS_IP_129,IPv4,IP,221.15.23.178,악성코드 유포지
CTAS_IP_130,IPv4,IP,219.154.144.30,악성코드 유포지
CTAS_IP_131,IPv4,IP,219.155.200.51,악성코드 유포지
CTAS_IP_132,IPv4,IP,182.117.70.154,악성코드 유포지
CTAS_IP_133,IPv4,IP,182.116.93.187,악성코드 유포지
CTAS_IP_134,IPv4,IP,182.112.0.113,악성코드 유포지
CTAS_IP_135,IPv4,IP,125.42.238.86,악성코드 유포지
CTAS_IP_136,IPv4,IP,125.40.159.87,악성코드 유포지
CTAS_IP_137,IPv4,IP,125.40.129.126,악성코드 유포지
CTAS_IP_138,IPv4,IP,123.5.145.245,악성코드 유포지
CTAS_IP_139,IPv4,IP,123.10.233.185,악성코드 유포지
CTAS_IP_140,IPv4,IP,123.11.240.141,악성코드 유포지
CTAS_IP_141,IPv4,IP,119.167.1.100,악성코드 유포지
CTAS_IP_142,IPv4,IP,119.179.239.206,악성코드 유포지
CTAS_IP_143,IPv4,IP,115.58.14.107,악성코드 유포지
CTAS_IP_144,IPv4,IP,115.55.230.152,악성코드 유포지
CTAS_IP_145,IPv4,IP,115.55.222.214,악성코드 유포지
CTAS_IP_146,IPv4,IP,112.248.190.192,악성코드 유포지
CTAS_IP_147,IPv4,IP,115.50.64.138,악성코드 유포지
CTAS_IP_148,IPv4,IP,115.48.147.84,악성코드 유포지
CTAS_IP_149,IPv4,IP,112.248.255.166,악성코드 유포지
CTAS_IP_150,IPv4,IP,112.239.101.228,악성코드 유포지
CTAS_IP_151,IPv4,IP,202.105.196.30,악성코드 유포지
CTAS_IP_152,IPv4,IP,61.176.24.57,악성코드 유포지
CTAS_IP_153,IPv4,IP,60.22.85.240,악성코드 유포지
CTAS_IP_154,IPv4,IP,42.53.123.47,악성코드 유포지
CTAS_IP_155,IPv4,IP,42.178.112.150,악성코드 유포지
CTAS_IP_156,IPv4,IP,27.37.110.107,악성코드 유포지
CTAS_IP_157,IPv4,IP,114.239.99.7,악성코드 유포지
CTAS_IP_158,IPv4,IP,113.239.197.119,악성코드 유포지
CTAS_IP_159,IPv4,IP,82.114.200.50,악성코드 유포지
CTAS_IP_160,IPv4,IP,77.87.236.206,악성코드 유포지
CTAS_IP_161,IPv4,IP,94.76.156.101,악성코드 유포지
CTAS_IP_162,IPv4,IP,80.11.25.16,악성코드 유포지
CTAS_IP_163,IPv4,IP,92.241.77.214,악성코드 유포지
CTAS_IP_164,IPv4,IP,81.16.247.81,악성코드 유포지
CTAS_IP_165,IPv4,IP,81.16.242.236,악성코드 유포지
CTAS_IP_166,IPv4,IP,85.72.39.196,악성코드 유포지
CTAS_IP_167,IPv4,IP,84.1.110.226,악성코드 유포지
CTAS_IP_168,IPv4,IP,103.206.139.61,악성코드 유포지
CTAS_IP_169,IPv4,IP,117.245.214.144,악성코드 유포지
CTAS_IP_170,IPv4,IP,117.208.160.63,악성코드 유포지
CTAS_IP_171,IPv4,IP,103.102.25.50,악성코드 유포지
CTAS_IP_172,IPv4,IP,203.115.101.21,악성코드 유포지
CTAS_IP_173,IPv4,IP,150.129.202.197,악성코드 유포지
CTAS_IP_174,IPv4,IP,150.129.202.193,악성코드 유포지
CTAS_IP_175,IPv4,IP,78.26.81.99,악성코드 유포지
CTAS_IP_176,IPv4,IP,94.244.113.217,악성코드 유포지
CTAS_IP_177,IPv4,IP,88.135.26.83,악성코드 유포지
CTAS_IP_178,IPv4,IP,88.119.95.176,악성코드 유포지
CTAS_IP_179,IPv4,IP,89.28.58.97,악성코드 유포지
CTAS_IP_180,IPv4,IP,89.28.58.81,악성코드 유포지
CTAS_IP_181,IPv4,IP,89.28.58.132,악성코드 유포지
CTAS_IP_182,IPv4,IP,89.28.58.131,악성코드 유포지
CTAS_IP_183,IPv4,IP,77.89.199.242,악성코드 유포지
CTAS_IP_184,IPv4,IP,156.155.176.210,악성코드 유포지
CTAS_IP_185,IPv4,IP,105.112.83.93,악성코드 유포지
CTAS_IP_186,IPv4,IP,159.148.48.50,악성코드 유포지
CTAS_IP_187,IPv4,IP,120.28.160.164,악성코드 유포지
CTAS_IP_188,IPv4,IP,144.48.123.149,악성코드 유포지
CTAS_IP_189,IPv4,IP,103.245.195.38,악성코드 유포지
CTAS_IP_190,IPv4,IP,94.42.177.12,악성코드 유포지
CTAS_IP_191,IPv4,IP,89.231.14.137,악성코드 유포지
CTAS_IP_192,IPv4,IP,94.52.86.60,악성코드 유포지
CTAS_IP_193,IPv4,IP,93.87.31.84,악성코드 유포지
CTAS_IP_194,IPv4,IP,95.165.187.102,악성코드 유포지
CTAS_IP_195,IPv4,IP,95.170.114.70,악성코드 유포지
CTAS_IP_196,IPv4,IP,94.251.5.51,악성코드 유포지
CTAS_IP_197,IPv4,IP,93.189.222.80,악성코드 유포지
CTAS_IP_198,IPv4,IP,92.126.230.58,악성코드 유포지
CTAS_IP_199,IPv4,IP,91.244.169.56,악성코드 유포지
CTAS_IP_200,IPv4,IP,91.228.64.59,악성코드 유포지
CTAS_IP_201,IPv4,IP,91.195.100.69,악성코드 유포지
CTAS_IP_202,IPv4,IP,84.52.94.215,악성코드 유포지
CTAS_IP_203,IPv4,IP,80.73.70.114,악성코드 유포지
CTAS_IP_204,IPv4,IP,79.111.14.68,악성코드 유포지
CTAS_IP_205,IPv4,IP,78.29.19.18,악성코드 유포지
CTAS_IP_206,IPv4,IP,78.140.32.219,악성코드 유포지
CTAS_IP_207,IPv4,IP,78.136.240.220,악성코드 유포지
CTAS_IP_208,IPv4,IP,196.41.63.178,악성코드 유포지
CTAS_IP_209,IPv4,IP,82.193.120.99,악성코드 유포지
CTAS_IP_210,IPv4,IP,178.211.135.170,악성코드 유포지
CTAS_IP_211,IPv4,IP,98.213.164.39,악성코드 유포지
CTAS_IP_212,IPv4,IP,76.136.85.221,악성코드 유포지
CTAS_IP_213,IPv4,IP,73.51.224.25,악성코드 유포지
CTAS_IP_214,IPv4,IP,98.103.171.36,악성코드 유포지
CTAS_IP_215,IPv4,IP,64.140.99.97,악성코드 유포지
CTAS_IP_216,IPv4,IP,64.140.105.9,악성코드 유포지
CTAS_IP_217,IPv4,IP,64.140.100.194,악성코드 유포지
CTAS_IP_218,IPv4,IP,206.214.35.106,악성코드 유포지
CTAS_IP_219,IPv4,IP,149.50.186.147,악성코드 유포지
CTAS_IP_220,IPv4,IP,123.16.137.81,악성코드 유포지
CTAS_IP_221,IPv4,IP,94.203.254.14,악성코드 유포지
CTAS_IP_222,IPv4,IP,185.57.69.125,악성코드 유포지
CTAS_IP_223,IPv4,IP,88.116.62.226,악성코드 유포지
CTAS_IP_224,IPv4,IP,83.218.189.21,악성코드 유포지
CTAS_IP_225,IPv4,IP,111.235.143.155,악성코드 유포지
CTAS_IP_226,IPv4,IP,66.181.166.140,악성코드 유포지
CTAS_IP_227,IPv4,IP,202.5.50.108,악성코드 유포지
CTAS_IP_228,IPv4,IP,91.92.82.180,악성코드 유포지
CTAS_IP_229,IPv4,IP,85.187.82.120,악성코드 유포지
CTAS_IP_230,IPv4,IP,84.242.139.154,악성코드 유포지
CTAS_IP_231,IPv4,IP,189.61.50.98,악성코드 유포지
CTAS_IP_232,IPv4,IP,178.198.246.24,악성코드 유포지
CTAS_IP_233,IPv4,IP,111.253.214.126,피싱
CTAS_IP_234,IPv4,IP,125.231.11.178,피싱
CTAS_IP_235,IPv4,IP,36.225.124.54,피싱
CTAS_IP_236,IPv4,IP,36.232.69.61,피싱
CTAS_IP_237,IPv4,IP,111.253.213.75,피싱
CTAS_IP_238,IPv4,IP,159.223.60.77,피싱
CTAS_IP_239,IPv4,IP,111.253.212.142,피싱
CTAS_IP_240,IPv4,IP,36.232.113.56,피싱
CTAS_IP_241,IPv4,IP,36.232.89.40,피싱
CTAS_IP_242,IPv4,IP,36.232.107.211,피싱
CTAS_IP_243,IPv4,IP,36.225.123.174,피싱
CTAS_IP_244,IPv4,IP,36.232.116.30,피싱
CTAS_IP_245,IPv4,IP,1.164.182.20,피싱
CTAS_IP_246,IPv4,IP,36.225.77.208,피싱
CTAS_IP_247,IPv4,IP,36.225.124.48,피싱
CTAS_IP_248,IPv4,IP,125.231.23.88,피싱
CTAS_IP_249,IPv4,IP,36.232.75.62,피싱
CTAS_IP_250,IPv4,IP,114.41.4.209,피싱
CTAS_IP_251,IPv4,IP,111.253.213.117,피싱
CTAS_IP_252,IPv4,IP,1.168.164.219,피싱
CTAS_IP_253,IPv4,IP,36.232.67.28,피싱
CTAS_IP_254,IPv4,IP,36.232.89.155,피싱
CTAS_IP_255,IPv4,IP,1.170.209.161,피싱
CTAS_IP_256,IPv4,IP,36.225.89.180,피싱
CTAS_IP_257,IPv4,IP,36.232.93.180,피싱
CTAS_IP_258,IPv4,IP,111.253.215.230,피싱
CTAS_IP_259,IPv4,IP,115.52.31.193,악성코드 유포지
CTAS_IP_260,IPv4,IP,125.43.82.238,악성코드 유포지
CTAS_IP_261,IPv4,IP,140.237.44.4,악성코드 유포지
CTAS_IP_262,IPv4,IP,163.142.78.220,악성코드 유포지
CTAS_IP_263,IPv4,IP,175.148.23.45,악성코드 유포지
CTAS_IP_264,IPv4,IP,175.150.179.108,악성코드 유포지
CTAS_IP_265,IPv4,IP,175.167.3.64,악성코드 유포지
CTAS_IP_266,IPv4,IP,202.111.130.32,악성코드 유포지
CTAS_IP_267,IPv4,IP,222.142.209.234,악성코드 유포지
CTAS_IP_268,IPv4,IP,222.142.252.191,악성코드 유포지
CTAS_IP_269,IPv4,IP,27.11.158.74,악성코드 유포지
CTAS_IP_270,IPv4,IP,27.37.113.232,악성코드 유포지
CTAS_IP_271,IPv4,IP,42.177.234.121,악성코드 유포지
CTAS_IP_272,IPv4,IP,42.235.86.167,악성코드 유포지
CTAS_IP_273,IPv4,IP,42.238.211.197,악성코드 유포지
CTAS_IP_274,IPv4,IP,60.22.160.178,악성코드 유포지
CTAS_IP_275,IPv4,IP,61.52.118.171,악성코드 유포지
CTAS_IP_276,IPv4,IP,61.52.5.43,악성코드 유포지
CTAS_IP_277,IPv4,IP,61.52.59.8,악성코드 유포지
CTAS_IP_278,IPv4,IP,61.52.62.111,악성코드 유포지
CTAS_IP_279,IPv4,IP,222.127.73.23,악성코드 유포지
CTAS_IP_280,IPv4,IP,110.37.54.31,악성코드 유포지
CTAS_IP_281,IPv4,IP,104.233.156.113,악성앱 정보유출지
CTAS_IP_282,IPv4,IP,36.225.76.83,피싱
CTAS_IP_283,IPv4,IP,111.253.208.84,피싱
CTAS_IP_284,IPv4,IP,36.232.83.46,피싱
CTAS_IP_285,IPv4,IP,111.253.207.131,피싱
CTAS_IP_286,IPv4,IP,112.242.61.73,악성코드 유포지
CTAS_IP_287,IPv4,IP,112.248.186.109,악성코드 유포지
CTAS_IP_288,IPv4,IP,113.221.96.62,악성코드 유포지
CTAS_IP_289,IPv4,IP,113.230.127.196,악성코드 유포지
CTAS_IP_290,IPv4,IP,115.48.4.119,악성코드 유포지
CTAS_IP_291,IPv4,IP,115.50.65.234,악성코드 유포지
CTAS_IP_292,IPv4,IP,115.54.165.148,악성코드 유포지
CTAS_IP_293,IPv4,IP,115.55.242.68,악성코드 유포지
CTAS_IP_294,IPv4,IP,115.55.55.186,악성코드 유포지
CTAS_IP_295,IPv4,IP,115.56.159.66,악성코드 유포지
CTAS_IP_296,IPv4,IP,115.59.25.80,악성코드 유포지
CTAS_IP_297,IPv4,IP,115.63.148.252,악성코드 유포지
CTAS_IP_298,IPv4,IP,115.63.189.198,악성코드 유포지
CTAS_IP_299,IPv4,IP,116.248.121.149,악성코드 유포지
CTAS_IP_300,IPv4,IP,119.166.206.245,악성코드 유포지
CTAS_IP_301,IPv4,IP,123.10.142.38,악성코드 유포지
CTAS_IP_302,IPv4,IP,123.14.17.138,악성코드 유포지
CTAS_IP_303,IPv4,IP,123.14.234.125,악성코드 유포지
CTAS_IP_304,IPv4,IP,123.189.149.14,악성코드 유포지
CTAS_IP_305,IPv4,IP,123.5.112.26,악성코드 유포지
CTAS_IP_306,IPv4,IP,123.9.198.108,악성코드 유포지
CTAS_IP_307,IPv4,IP,125.42.76.55,악성코드 유포지
CTAS_IP_308,IPv4,IP,163.142.77.164,악성코드 유포지
CTAS_IP_309,IPv4,IP,175.160.127.168,악성코드 유포지
CTAS_IP_310,IPv4,IP,175.165.81.41,악성코드 유포지
CTAS_IP_311,IPv4,IP,175.44.158.108,악성코드 유포지
CTAS_IP_312,IPv4,IP,182.112.42.193,악성코드 유포지
CTAS_IP_313,IPv4,IP,182.121.41.102,악성코드 유포지
CTAS_IP_314,IPv4,IP,219.155.106.45,악성코드 유포지
CTAS_IP_315,IPv4,IP,219.155.209.70,악성코드 유포지
CTAS_IP_316,IPv4,IP,221.0.209.98,악성코드 유포지
CTAS_IP_317,IPv4,IP,221.15.91.18,악성코드 유포지
CTAS_IP_318,IPv4,IP,222.140.132.167,악성코드 유포지
CTAS_IP_319,IPv4,IP,222.140.156.123,악성코드 유포지
CTAS_IP_320,IPv4,IP,27.207.38.159,악성코드 유포지
CTAS_IP_321,IPv4,IP,27.215.212.254,악성코드 유포지
CTAS_IP_322,IPv4,IP,39.81.216.3,악성코드 유포지
CTAS_IP_323,IPv4,IP,42.224.126.68,악성코드 유포지
CTAS_IP_324,IPv4,IP,42.224.30.21,악성코드 유포지
CTAS_IP_325,IPv4,IP,42.227.129.10,악성코드 유포지
CTAS_IP_326,IPv4,IP,42.235.146.241,악성코드 유포지
CTAS_IP_327,IPv4,IP,42.5.8.102,악성코드 유포지
CTAS_IP_328,IPv4,IP,42.53.249.57,악성코드 유포지
CTAS_IP_329,IPv4,IP,42.54.155.70,악성코드 유포지
CTAS_IP_330,IPv4,IP,42.56.160.67,악성코드 유포지
CTAS_IP_331,IPv4,IP,42.58.167.27,악성코드 유포지
CTAS_IP_332,IPv4,IP,42.85.74.201,악성코드 유포지
CTAS_IP_333,IPv4,IP,42.87.139.108,악성코드 유포지
CTAS_IP_334,IPv4,IP,58.209.181.97,악성코드 유포지
CTAS_IP_335,IPv4,IP,61.52.88.154,악성코드 유포지
CTAS_IP_336,IPv4,IP,61.52.96.210,악성코드 유포지
CTAS_IP_337,IPv4,IP,61.53.123.251,악성코드 유포지
CTAS_IP_338,IPv4,IP,79.117.6.227,악성코드 유포지
CTAS_IP_339,IPv4,IP,82.67.13.197,악성코드 유포지
CTAS_IP_340,IPv4,IP,149.241.40.177,악성코드 유포지
CTAS_IP_341,IPv4,IP,176.35.55.164,악성코드 유포지
CTAS_IP_342,IPv4,IP,180.245.60.169,악성코드 유포지
CTAS_IP_343,IPv4,IP,103.240.211.121,악성코드 유포지
CTAS_IP_344,IPv4,IP,116.72.19.113,악성코드 유포지
CTAS_IP_345,IPv4,IP,122.170.8.40,악성코드 유포지
CTAS_IP_346,IPv4,IP,59.93.187.141,악성코드 유포지
CTAS_IP_347,IPv4,IP,79.0.5.138,악성코드 유포지
CTAS_IP_348,IPv4,IP,93.55.251.246,악성코드 유포지
CTAS_IP_349,IPv4,IP,84.15.155.121,악성코드 유포지
CTAS_IP_350,IPv4,IP,149.106.141.136,악성코드 유포지
CTAS_IP_351,IPv4,IP,110.39.251.209,악성코드 유포지
CTAS_IP_352,IPv4,IP,109.98.184.186,악성코드 유포지
CTAS_IP_353,IPv4,IP,77.79.135.225,악성코드 유포지
CTAS_IP_354,IPv4,IP,111.185.171.111,악성코드 유포지
CTAS_IP_355,IPv4,IP,111.185.23.52,악성코드 유포지
CTAS_IP_356,IPv4,IP,113.196.206.245,악성코드 유포지
CTAS_IP_357,IPv4,IP,203.203.86.235,악성코드 유포지
CTAS_IP_358,IPv4,IP,66.229.228.126,악성코드 유포지
CTAS_IP_359,IPv4,IP,70.190.199.152,악성코드 유포지
CTAS_IP_360,IPv4,IP,138.36.2.110,악성코드 유포지
CTAS_IP_361,IPv4,IP,152.230.111.46,악성코드 유포지
CTAS_IP_362,IPv4,IP,115.78.234.227,악성코드 유포지
CTAS_IP_363,IPv4,IP,14.224.162.164,악성코드 유포지
CTAS_IP_364,IPv4,IP,14.249.107.216,악성코드 유포지
CTAS_IP_365,IPv4,IP,105.225.164.254,악성코드 유포지
CTAS_IP_366,IPv4,IP,200.115.249.127,악성코드 유포지
CTAS_IP_367,IPv4,IP,103.160.130.109,악성코드 유포지
CTAS_IP_368,IPv4,IP,93.123.89.226,악성코드 유포지
CTAS_IP_369,IPv4,IP,94.236.180.235,악성코드 유포지
CTAS_IP_370,IPv4,IP,95.43.76.100,악성코드 유포지
CTAS_IP_371,IPv4,IP,190.186.90.66,악성코드 유포지
CTAS_IP_372,IPv4,IP,36.225.71.204,피싱
CTAS_IP_373,IPv4,IP,36.232.77.84,피싱
CTAS_IP_374,IPv4,IP,36.232.110.146,피싱
CTAS_IP_375,IPv4,IP,1.163.221.212,피싱
CTAS_IP_376,IPv4,IP,111.253.212.115,피싱
CTAS_IP_377,IPv4,IP,36.232.99.197,피싱
CTAS_IP_378,IPv4,IP,36.232.99.195,피싱
CTAS_IP_379,IPv4,IP,36.232.97.120,피싱
CTAS_IP_380,IPv4,IP,36.232.94.58,피싱
CTAS_IP_381,IPv4,IP,36.232.82.84,피싱
CTAS_IP_382,IPv4,IP,111.253.216.106,피싱
CTAS_IP_383,IPv4,IP,111.253.213.194,피싱
CTAS_IP_384,IPv4,IP,111.253.211.22,피싱
CTAS_IP_385,IPv4,IP,111.253.204.97,피싱
CTAS_IP_386,IPv4,IP,104.192.224.132,악성앱 정보유출지
CTAS_IP_387,IPv4,IP,36.225.66.88,피싱
CTAS_IP_388,IPv4,IP,36.232.105.27,피싱
CTAS_IP_389,IPv4,IP,111.253.195.156,피싱
CTAS_IP_390,IPv4,IP,36.225.106.28,피싱
CTAS_IP_391,IPv4,IP,36.232.93.18,피싱
CTAS_IP_392,IPv4,IP,36.232.100.239,피싱
CTAS_IP_393,IPv4,IP,114.41.16.152,피싱
CTAS_IP_394,IPv4,IP,36.225.113.159,피싱
CTAS_IP_395,IPv4,IP,111.253.207.164,피싱
CTAS_IP_396,IPv4,IP,36.232.86.104,피싱
CTAS_IP_397,IPv4,IP,36.232.68.149,피싱
CTAS_IP_398,IPv4,IP,36.232.100.141,피싱
CTAS_IP_399,IPv4,IP,1.163.211.22,피싱
CTAS_IP_400,IPv4,IP,36.232.93.146,피싱
CTAS_IP_401,IPv4,IP,111.253.213.186,피싱
CTAS_IP_402,IPv4,IP,36.232.102.94,피싱
CTAS_IP_403,IPv4,IP,36.232.67.142,피싱
CTAS_IP_404,IPv4,IP,36.232.89.193,피싱
CTAS_IP_405,IPv4,IP,120.28.189.182,악성코드 유포지
CTAS_IP_406,IPv4,IP,180.253.226.11,악성코드 유포지
CTAS_IP_407,IPv4,IP,103.172.186.140,악성코드 유포지
CTAS_IP_408,IPv4,IP,110.37.61.44,악성코드 유포지
CTAS_IP_409,IPv4,IP,220.164.229.253,악성코드 유포지
CTAS_IP_410,IPv4,IP,182.235.62.104,악성코드 유포지
CTAS_IP_411,IPv4,IP,125.41.81.141,악성코드 유포지
