session_id,request_signature,timestamp,source_ip_actual,claimed_ip_header,claimed_ip_mode,user_agent,method,path,path_scope,url_original,query_string,body_preview,status_code,rule_ids,rule_names,waf_messages,severities,engine_modes,event_actions,event_outcomes,unique_ids,merged_row_count,raw_row_indexes
tmp-session-f46c82259450,5aef38aea9c462de,2026-03-19T21:24:48.935000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/?id=%22%20or%20%221%22=%221%22%20--,frontend_or_other,/?id=%22%20or%20%221%22=%221%22%20--,,,403,920350,Host header is a numeric IP address,"Host header is a numeric IP address, SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 8)","4, 2, 0",Enabled,blocked,failure,177398068563.069858|17739806883.550278,2,153|155
tmp-session-f46c82259450,9cf4d2d2d8b66787,2026-03-19T21:24:48.935000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/favicon.ico,asset,/favicon.ico,,,403,920350,Host header is a numeric IP address,"Host header is a numeric IP address, SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 8)","4, 2, 0",Enabled,blocked,failure,177398068897.674886|177398068554.101459,2,152|156
tmp-session-f46c82259450,8198a3a02495ce0d,2026-03-19T21:30:52.902000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/?id=%22%20or%20%221%22=%221%22%20--,frontend_or_other,/?id=%22%20or%20%221%22=%221%22%20--,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,177398105157.705260|177398105288.534919|177398105297.765890|177398105285.365130|177398105245.140324,5,132|133|134|145|146
tmp-session-f46c82259450,07b11e1d5fe58736,2026-03-19T21:30:52.902000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/favicon.ico,asset,/favicon.ico,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,17739810507.713179|177398105214.788459|177398105120.476929|177398105231.866228|177398105266.673867,5,137|138|139|140|141
tmp-session-f46c82259450,3f0f386ada86147a,2026-03-19T21:30:54.903000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/?id=%22%20or%20%221%22=%221%22%20--,frontend_or_other,/?id=%22%20or%20%221%22=%221%22%20--,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,17739810530.936741|177398105345.039386|177398105372.276067|177398105322.992238|177398105335.114585,5,113|114|118|119|120
tmp-session-f46c82259450,23781ccf97b0e80a,2026-03-19T21:30:54.903000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/favicon.ico,asset,/favicon.ico,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,177398105370.957451|177398105348.761184|177398105362.659764|177398105337.763455|177398105258.490875|17739810532.860003,6,117|121|122|123|127|128
tmp-session-f46c82259450,924a1d942ee9bb9d,2026-03-19T21:31:58.905000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",PUT,/api/board/posts/142,business,/api/board/posts/142,,,403,911100,Method is not allowed by policy,"Method is not allowed by policy, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,177398110949.343144|177398111031.148134,2,107|109
tmp-session-f46c82259450,2f9fda86dca2f4f2,2026-03-19T21:32:22.906000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/,frontend_or_other,/,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398113533.644090,1,105
tmp-session-f46c82259450,186caad356939c27,2026-03-19T21:32:22.906000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/auth/me,business,/api/auth/me,,,401,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398113532.043950,1,100
tmp-session-f46c82259450,55e58423740fc5f9,2026-03-19T21:32:22.906000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398113537.214582|177398113591.459803,2,101|103
tmp-session-f46c82259450,1b80d66f57694809,2026-03-19T21:32:22.906000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/public/academic-events,business,/api/public/academic-events,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398113538.183952,1,104
tmp-session-f46c82259450,e1264f302e449ba9,2026-03-19T21:32:22.906000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/public/announcements?size=6,business,/api/public/announcements?size=6,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398113521.304975,1,102
tmp-session-f46c82259450,64574b513ce27dba,2026-03-19T21:32:36.907000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",POST,/api/auth/login,business,/api/auth/login,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398115120.812203,1,97
tmp-session-f46c82259450,78a091442d8e836c,2026-03-19T21:32:36.907000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/auth/me,business,/api/auth/me,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398115233.151427,1,98
tmp-session-f46c82259450,75b478adce5c5a6e,2026-03-19T21:32:36.907000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/board/posts?sort=latest&page=0&size=6,business,/api/board/posts?sort=latest&page=0&size=6,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398115392.476443,1,99
tmp-session-f46c82259450,dfae8363e36e3054,2026-03-19T21:32:36.908000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/board/posts/142,business,/api/board/posts/142,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398115687.307793,1,96
tmp-session-f46c82259450,1ab6a71c65fbcc5a,2026-03-19T21:32:42.908000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",PUT,/api/board/posts/142,business,/api/board/posts/142,,,403,911100,Method is not allowed by policy,"Method is not allowed by policy, Host header is a numeric IP address, Inbound Anomaly Score Exceeded (Total Score: 8)","2, 4, 0",Enabled,blocked,failure,177398116113.170468,1,95
tmp-session-f46c82259450,248a0bfec2e03db3,2026-03-19T21:32:44.909000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",PUT,/api/board/posts/142,business,/api/board/posts/142,,,403,911100,Method is not allowed by policy,"Method is not allowed by policy, Host header is a numeric IP address, Inbound Anomaly Score Exceeded (Total Score: 8)","2, 4, 0",Enabled,blocked,failure,177398116471.360191,1,93
tmp-session-f46c82259450,0432fe7fd33c32f1,2026-03-19T21:32:50.910000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",PUT,/api/board/posts/142,business,/api/board/posts/142,,,403,911100,Method is not allowed by policy,"Method is not allowed by policy, Host header is a numeric IP address, Inbound Anomaly Score Exceeded (Total Score: 8)","2, 4, 0",Enabled,blocked,failure,17739811678.145841,1,91
tmp-session-f46c82259450,f5f9cdd372b617df,2026-03-19T21:33:04.911000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",DELETE,/api/board/posts/142,business,/api/board/posts/142,,,403,911100,Method is not allowed by policy,"Method is not allowed by policy, Host header is a numeric IP address, Inbound Anomaly Score Exceeded (Total Score: 8)","2, 4, 0",Enabled,blocked,failure,177398117865.472126,1,89
tmp-session-f46c82259450,b7355aa069491a17,2026-03-19T21:33:58.914000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/public/academic-events,business,/api/public/academic-events,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398123041.634706,1,86
tmp-session-f46c82259450,728c6ee80b630bd1,2026-03-19T21:33:58.914000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/public/announcements?size=6,business,/api/public/announcements?size=6,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,17739812305.246190,1,87
tmp-session-ed373aefb3b3,ca1ced51b4eb5275,2026-03-19T21:37:32.932000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,,,,,Enabled,detected,success,17739814479.491624,1,85
tmp-session-ed373aefb3b3,aa77b49eb2408c9d,2026-03-19T21:37:46.933000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",POST,/api/auth/login,business,/api/auth/login,,,500,,,,,Enabled,detected,success,177398145978.016587|177398146395.615653,2,83|84
tmp-session-ed373aefb3b3,b6396cab20f2a8db,2026-03-19T21:38:20.936000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,,,,,Enabled,detected,success,177398149898.949771,1,82
tmp-session-53db1e19f07e,cd8f93b24484e9e8,2026-03-19T21:38:44.938000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),POST,/api/auth/login,business,/api/auth/login,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398152313.876186,1,78
tmp-session-53db1e19f07e,a34ac955d59a7cb6,2026-03-19T21:38:44.938000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),GET,/api/board/posts,business,/api/board/posts,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398152367.265501,1,76
tmp-session-53db1e19f07e,c3616c46c6a73421,2026-03-19T21:38:44.938000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),POST,/api/board/posts,business,/api/board/posts,,,403,920350,Host header is a numeric IP address,"Host header is a numeric IP address, Path Traversal Attack (/../) or (/.../), Path Traversal Attack (/../) or (/.../), Path Traversal Attack (/../) or (/.../), OS File Access Attempt, Remote Command Execution: Unix Command Injection (command without evasion), Remote Command Execution: Direct Unix Command Execution, Remote Command Execution: Direct Unix Command Execution (No Arguments), Remote Command Execution: Unix Shell Code Found, Remote Command Execution: Windows Command Injection, XSS Attack Detected via libinjection, XSS Filter - Category 1: Script Tag Vector, NoScript XSS InjectionChecker: HTML Injection, Javascript method detected, SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 73)","4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0",Enabled,blocked,failure,17739815234.773715,1,79
tmp-session-53db1e19f07e,47ec1a099862891a,2026-03-19T21:38:44.938000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),GET,/api/lms/assignments/2,business,/api/lms/assignments/2,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398152371.338379|177398152358.416794,2,73|74
tmp-session-53db1e19f07e,9c883dfbde35b162,2026-03-19T21:38:44.938000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),POST,/api/lms/assignments/2/submissions,business,/api/lms/assignments/2/submissions,,,400,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398152338.258209,1,75
tmp-session-53db1e19f07e,58bca31c133e9e9e,2026-03-19T21:38:44.938000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),GET,/api/lms/courses/1/assignments,business,/api/lms/courses/1/assignments,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398152384.993384,1,81
tmp-session-53db1e19f07e,1b184cb6b84e20b1,2026-03-19T21:38:44.938000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),GET,/api/lms/courses/my,business,/api/lms/courses/my,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398152343.791600,1,80
tmp-session-ed373aefb3b3,75237156605e6b82,2026-03-19T21:39:28.941000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/favicon.ico,asset,/favicon.ico,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,177398156344.519043,1,72
tmp-session-ed373aefb3b3,7fd5002c7e17b487,2026-03-19T21:39:28.941000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,"/lms/courses?id=1%27%20UNION%20SELECT%20NULL,%20username,%20password%20FROM%20users--",frontend_or_other,"/lms/courses?id=1%27%20UNION%20SELECT%20NULL,%20username,%20password%20FROM%20users--",,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Detects MSSQL code execution and information gathering attempts, Looking for basic sql injection. Common attack string for mysql, oracle and others, Detects concatenated basic SQL injection and SQLLFI attempts, Inbound Anomaly Score Exceeded (Total Score: 20)","2, 2, 2, 2, 0",Enabled,blocked,failure,177398156363.280068,1,70
tmp-session-a4de9486f2f7,6d21c6d65a16827a,2026-03-19T21:55:32.902000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/,frontend_or_other,/,,,304,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398252833.806214|177398252981.800479|177398252939.383207|177398253049.334346|177398252931.432087|177398252863.326342|177398252926.023121|177398252991.110477|177398252913.398303|177398252980.970248|177398253059.293287|17739825286.838969,12,30|31|32|38|39|48|50|51|56|57|66|67
tmp-session-a4de9486f2f7,4043b5e9365bce94,2026-03-19T21:55:32.902000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/auth/me,business,/api/auth/me,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398252971.802889|177398252965.731142|177398252895.625817|17739825295.808051|177398252922.159853|177398253019.042352|177398252995.414559|17739825295.312765|177398252830.099056|177398252848.064001|177398252962.047046|177398253032.790708,12,20|21|25|26|27|35|36|40|41|44|49|52
tmp-session-a4de9486f2f7,f28769cab01c056c,2026-03-19T21:55:32.902000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/public/academic-events,business,/api/public/academic-events,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398252855.870255|177398252812.441735|177398253095.715431|177398253018.502878|177398252844.437120|177398252934.061527|177398252971.472207|177398252973.774873|177398252973.468202|177398252974.450489|177398252945.959365|177398252955.550114,12,22|24|28|45|47|53|55|58|59|62|64|68
tmp-session-a4de9486f2f7,8d28d971fd7c66df,2026-03-19T21:55:32.902000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/api/public/announcements?size=6,business,/api/public/announcements?size=6,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398252924.778737|177398252950.827031|177398252882.134575|177398252973.096334|177398252965.579142|177398252914.159500|177398252935.110379|177398253085.404476|177398252924.232504|177398252820.145580|177398252884.380776|177398253085.512632,12,23|33|34|37|42|43|46|54|60|61|63|65
tmp-session-a4de9486f2f7,a889025c82e76e01,2026-03-19T21:55:32.902000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/vite.svg,asset,/vite.svg,,,304,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398252850.785581,1,29
tmp-session-289f5e4975a5,140ade41ccb56ede,2026-03-19T22:03:12.902000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),POST,/api/board/posts,business,/api/board/posts,,,403,930100,Path Traversal Attack (/../) or (/.../),"Path Traversal Attack (/../) or (/.../), Path Traversal Attack (/../) or (/.../), Path Traversal Attack (/../) or (/.../), OS File Access Attempt, Remote Command Execution: Unix Shell Code Found, XSS Attack Detected via libinjection, XSS Filter - Category 1: Script Tag Vector, NoScript XSS InjectionChecker: HTML Injection, Javascript method detected, SQL Injection Attack Detected via libinjection, Detects MSSQL code execution and information gathering attempts, Inbound Anomaly Score Exceeded (Total Score: 55)","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0",Enabled,blocked,failure,177398298470.739068,1,17
tmp-session-289f5e4975a5,6016c2063cc91ea7,2026-03-19T22:03:12.902000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),GET,/api/board/posts/NOT_FOUND,business,/api/board/posts/NOT_FOUND,,,500,,,,,Enabled,detected,success,177398298478.689205,1,18
tmp-session-289f5e4975a5,6b5474a858d36cc6,2026-03-19T22:03:12.902000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),GET,/api/board/posts?keyword=%3Cscript%3Ealert(1)%3C%2Fscript%3E,business,/api/board/posts?keyword=%3Cscript%3Ealert(1)%3C%2Fscript%3E,,,403,941100,XSS Attack Detected via libinjection,"XSS Attack Detected via libinjection, XSS Filter - Category 1: Script Tag Vector, NoScript XSS InjectionChecker: HTML Injection, Javascript method detected, Inbound Anomaly Score Exceeded (Total Score: 20)","2, 2, 2, 2, 0",Enabled,blocked,failure,17739829830.613278,1,19
tmp-session-289f5e4975a5,16c3b5e0b51b6d83,2026-03-19T22:06:46.906000+00:00,192.168.88.10,,none,Apache-HttpClient/4.5.14 (Java/17.0.12),POST,/api/board/posts,business,/api/board/posts,,,403,930100,Path Traversal Attack (/../) or (/.../),"Path Traversal Attack (/../) or (/.../), Path Traversal Attack (/../) or (/.../), Javascript method detected, Inbound Anomaly Score Exceeded (Total Score: 15)","2, 2, 2, 0",Enabled,blocked,failure,17739832068.978535,1,12
