entry_id,entry_type,issue_type,case_class,method,target,payload_template,observed_off,observed_on,expected_code,expected_reason,recommendation,notes,source
public_post_011,needs_update,false_positive,ambiguous,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""select 문이 포함된 강의자료 문의 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-11-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_012,needs_update,false_positive,ambiguous,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""union all select 교육자료 제보 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-12-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_013,needs_update,false_positive,ambiguous,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""script 태그 표기 문의 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-13-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_014,needs_update,false_positive,ambiguous,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""../admin 경로 예시 확인 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-14-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_015,needs_update,false_positive,ambiguous,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""cmd.exe 문자열이 포함된 게시글 신고 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-15-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_016,needs_update,false_positive,ambiguous,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""powershell -enc 예시 확인 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-16-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_017,needs_update,false_positive,ambiguous,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""whoami 출력 사례 문의 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-17-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_021,needs_update,false_positive,normal,POST,/api/auth/register,"{""email"":""normal-v2-21-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생A"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_022,needs_update,false_positive,normal,POST,/api/auth/register,"{""email"":""normal-v2-22-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생B"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_023,needs_update,false_positive,normal,POST,/api/auth/register,"{""email"":""normal-v2-23-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생C"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_024,needs_update,false_positive,normal,POST,/api/auth/register,"{""email"":""normal-v2-24-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생D"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_025,needs_update,false_positive,normal,POST,/api/auth/register,"{""email"":""normal-v2-25-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생E"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_026,needs_update,false_positive,normal,POST,/api/auth/register,"{""email"":""normal-v2-26-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생F"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_027,needs_update,false_positive,normal,POST,/api/auth/register,"{""email"":""normal-v2-27-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생G"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_028,needs_update,false_positive,ambiguous,POST,/api/auth/register,"{""email"":""ambiguous-v2-28-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""보안스터디"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_029,needs_update,false_positive,ambiguous,POST,/api/auth/register,"{""email"":""ambiguous-v2-29-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""로그분석반"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_030,needs_update,false_positive,ambiguous,POST,/api/auth/register,"{""email"":""ambiguous-v2-30-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""Script Review Note"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_031,needs_update,false_positive,ambiguous,POST,/api/auth/register,"{""email"":""ambiguous-v2-31-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""WAF Test Lab"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_032,needs_update,false_positive,ambiguous,POST,/api/auth/register,"{""email"":""ambiguous-v2-32-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""침해대응실습"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_033,needs_update,false_positive,ambiguous,POST,/api/auth/register,"{""email"":""ambiguous-v2-33-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""시큐어코딩반"",""role"":""STUDENT""}",403,403,201,normal_or_ambiguous_register_request,review_and_relax_blocking_policy,"public register request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
auth_post_001,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""도서관 이용 안내 ${mixed500_v2_run_id}"",""content"":""도서관 좌석 배정과 운영 시간 안내를 공유하는 정상 게시글입니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_007,needs_update,false_positive,ambiguous,POST,/api/board/posts,"{""title"":""보안 실습 메모 ${mixed500_v2_run_id}"",""content"":""select 문, script 태그, ../admin 경로를 방어 관점에서 정리하는 게시글입니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_013,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""캠퍼스 행사 공지 ${mixed500_v2_run_id}"",""content"":""캠퍼스 세미나와 공모전 일정을 공유하는 정상 게시글입니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_019,needs_update,false_positive,ambiguous,POST,/api/board/posts,"{""title"":""WAF 과탐 사례 ${mixed500_v2_run_id}"",""content"":""cmd.exe, powershell -enc, union select 같은 문자열을 문맥적으로 설명하는 게시글입니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_025,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""학사 일정 안내 ${mixed500_v2_run_id}"",""content"":""학사 일정과 시험 주간 공지를 공유합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_026,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""장학금 신청 안내 ${mixed500_v2_run_id}"",""content"":""장학금 신청 일정과 제출 서류를 정리합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_027,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""기숙사 점검 안내 ${mixed500_v2_run_id}"",""content"":""기숙사 정기 점검 일정을 안내합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_028,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""캡스톤 공지 ${mixed500_v2_run_id}"",""content"":""캡스톤 발표 일정을 공유합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_029,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""수강정정 안내 ${mixed500_v2_run_id}"",""content"":""수강정정 기간과 절차를 정리합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_030,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""학생회 행사 안내 ${mixed500_v2_run_id}"",""content"":""학생회 행사 참여 방법을 안내합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_031,needs_update,false_positive,normal,POST,/api/board/posts,"{""title"":""세미나 신청 안내 ${mixed500_v2_run_id}"",""content"":""보안 세미나 신청 방법을 정리합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_032,needs_update,false_positive,ambiguous,POST,/api/board/posts,"{""title"":""보안 수업 자료 ${mixed500_v2_run_id}"",""content"":""union all select와 script 태그 필터링 사례를 설명합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_033,needs_update,false_positive,ambiguous,POST,/api/board/posts,"{""title"":""로그 분석 메모 ${mixed500_v2_run_id}"",""content"":""cmd.exe 와 whoami 결과 문자열을 분석합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_034,needs_update,false_positive,ambiguous,POST,/api/board/posts,"{""title"":""필터 우회 사례 ${mixed500_v2_run_id}"",""content"":""../admin 경로 예시와 XSS payload 설명을 기록합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_035,needs_update,false_positive,ambiguous,POST,/api/board/posts,"{""title"":""시큐어코딩 토론 ${mixed500_v2_run_id}"",""content"":""drop table 금지 정책과 query string 보안을 다룹니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_036,needs_update,false_positive,ambiguous,POST,/api/board/posts,"{""title"":""교육용 공격 문자열 ${mixed500_v2_run_id}"",""content"":""powershell -enc 예시를 수업 관점에서 정리합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_037,needs_update,false_positive,ambiguous,POST,/api/board/posts,"{""title"":""WAF 튜닝 메모 ${mixed500_v2_run_id}"",""content"":""alert tcp 룰과 false positive 사례를 기록합니다.""}",403,403,201,normal_or_ambiguous_board_post_should_be_created,review_and_relax_blocking_policy,"board create should succeed, not be blocked",FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
auth_post_045,needs_update,false_negative,attack,POST,/api/board/posts,"{""title"":""`id`"",""content"":""백틱 명령 삽입 시도""}",201,201,403,explicit_attack_should_be_blocked,add_or_tune_detection_rule,backtick command substitution missed,FP_BOARD_SEARCH_URL_EXPANDED_500_V2.jmx + V2 on/off JTL
improved_get_001,resolved_example,false_positive_resolved,ambiguous,GET,http://www.kj.ac.kr/api/board/posts?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6,,403,200,200,contextual_search_term_should_be_allowed,keep_current_tuning_direction,contextual admin-path search now allowed,V2 on/off JTL
improved_get_002,resolved_example,false_positive_resolved,ambiguous,GET,http://www.kj.ac.kr/api/board/posts?keyword=whoami%20%EB%AA%85%EB%A0%B9%20%EA%B2%B0%EA%B3%BC&sort=latest&page=0&size=6,,403,200,200,contextual_search_term_should_be_allowed,keep_current_tuning_direction,contextual command-string search now allowed,V2 on/off JTL
improved_get_003,resolved_example,false_positive_resolved,attack,GET,http://www.kj.ac.kr/api/board/posts?keyword=%3Cscript%3Ealert%281%29%3C%2Fscript%3E&sort=latest&page=0&size=5,,403,400,400,application_validation_should_handle_bad_input,keep_current_tuning_direction,"off blocked too early, on lets app return 400",V2 on/off JTL
improved_get_004,resolved_example,false_positive_resolved,ambiguous,GET,http://www.kj.ac.kr/api/public/announcements?keyword=..%2Fadmin&sort=latest&size=5,,403,200,200,contextual_public_search_should_be_allowed,keep_current_tuning_direction,public contextual search now allowed,V2 on/off JTL
improved_get_005,resolved_example,false_positive_resolved,ambiguous,GET,http://www.kj.ac.kr/api/board/posts?keyword=..%2Fadmin&sort=latest&size=5,,403,401,401,auth_required_endpoint_should_return_401,keep_current_tuning_direction,on allows proper auth response instead of blanket block,V2 on/off JTL
improved_get_006,resolved_example,false_positive_resolved,attack,GET,http://www.kj.ac.kr/api/board/posts?keyword=%27%20or%201%3D1--&sort=latest&page=0&size=5,,403,400,400,application_validation_should_handle_bad_input,keep_current_tuning_direction,on allows app-side bad request handling,V2 on/off JTL
